# 功耗列使用说明：
#   P_if_single_uW: 单个 IF 神经元在一个时间步的平均功耗，由 Cadence 仿真测得
#   P_mac_single_uW: 单个 MAC 单元完成一次乘加运算的平均功耗，由 Cadence 仿真测得
#   P_SNN_uW: 填入 P_if_single_uW * (N_neurons * T * firing_rate) 后的总功耗估算
#   P_ANN_uW: 填入 P_mac_single_uW * (MAC_ops / parallelism) 后的总功耗估算
#   power_saving_percent: (P_ANN_uW - P_SNN_uW) / P_ANN_uW * 100
# 当前列为占位符，等待后续 Cadence 仿真数据填入。
# 实测功耗与 ANN 并行度假设：P_if=2.627µW, P_mac=1.072µW, parallelism=1（单 MAC 串行基线）
# 实测功耗与 ANN 并行度假设：P_if=2.6210492µW, P_mac=1.0661734µW, parallelism=1（单 MAC 串行基线）
# 实测功耗与 ANN 并行度假设：P_if=9.610513733333333µW, P_mac=1.0661734µW, parallelism=1（单 MAC 串行基线）
# 实测功耗与 ANN 并行度假设：P_if=9.610513733333333µW, P_mac=4.870173µW, parallelism=1（单 MAC 串行基线）
T,Vth,Accuracy(%),Overall_Sparsity(%),Sparsity_L1(%),Sparsity_L2(%),Avg_Spikes_L1,Avg_Spikes_L2,Total_Spikes_L1,Total_Spikes_L2,P_if_single_uW,P_mac_single_uW,P_SNN_uW,P_ANN_uW,power_saving_percent
5,0.5,92.2,93.75,93.79,92.75,93.2,3.6,46602,1812,9.611,4.870,930.298,1160075.209,99.92
10,0.5,94.6,91.43,91.48,90.12,255.6,9.9,127824,4939,9.611,4.870,2551.591,1160075.209,99.78
20,0.5,95.4,90.42,90.46,89.38,572.6,21.2,286283,10618,9.611,4.870,5706.723,1160075.209,99.51
30,0.5,96.0,90.03,90.06,89.06,894.3,32.8,447131,16411,9.611,4.870,8909.907,1160075.209,99.23
50,0.5,96.8,89.75,89.78,88.83,1532.8,55.9,766412,27929,9.611,4.870,15268.223,1160075.209,98.68
80,0.5,96.4,89.58,89.61,88.62,2492.8,91.0,1246404,45500,9.611,4.870,24831.645,1160075.209,97.86
100,0.5,96.2,89.52,89.55,88.61,3133.7,113.9,1566858,56948,9.611,4.870,31211.104,1160075.209,97.31
5,0.75,86.0,93.84,93.79,95.42,93.2,2.3,46602,1146,9.611,4.870,917.804,1160075.209,99.92
10,0.75,93.8,91.53,91.48,93.22,255.6,6.8,127824,3391,9.611,4.870,2521.799,1160075.209,99.78
20,0.75,96.0,90.52,90.46,92.31,572.6,15.4,286283,7693,9.611,4.870,5650.982,1160075.209,99.51
30,0.75,95.8,90.13,90.06,91.97,894.3,24.1,447132,12045,9.611,4.870,8826.296,1160075.209,99.24
50,0.75,96.6,89.84,89.78,91.73,1532.8,41.4,766412,20684,9.611,4.870,15128.871,1160075.209,98.70
80,0.75,96.4,89.68,89.61,91.59,2492.8,67.2,1246404,33623,9.611,4.870,24602.915,1160075.209,97.88
100,0.75,96.8,89.62,89.55,91.54,3133.7,84.6,1566858,42304,9.611,4.870,30929.516,1160075.209,97.33
