# 功耗列使用说明：
#   P_if_single_uW: 单个 IF 神经元在一个时间步的平均功耗，由 Cadence 仿真测得
#   P_mac_single_uW: 单个 MAC 单元完成一次乘加运算的平均功耗，由 Cadence 仿真测得
#   P_SNN_uW: 填入 P_if_single_uW * (N_neurons * T * firing_rate) 后的总功耗估算
#   P_ANN_uW: 填入 P_mac_single_uW * (MAC_ops / parallelism) 后的总功耗估算
#   power_saving_percent: (P_ANN_uW - P_SNN_uW) / P_ANN_uW * 100
# 当前列为占位符，等待后续 Cadence 仿真数据填入。
# 实测功耗与 ANN 并行度假设：P_if=2.627µW, P_mac=1.072µW, parallelism=1（单 MAC 串行基线）
# 实测功耗与 ANN 并行度假设：P_if=2.6210492µW, P_mac=1.0661734µW, parallelism=1（单 MAC 串行基线）
# 实测功耗与 ANN 并行度假设：P_if=9.610513733333333µW, P_mac=1.0661734µW, parallelism=1（单 MAC 串行基线）
# 实测功耗与 ANN 并行度假设：P_if=9.610513733333333µW, P_mac=4.870173µW, parallelism=1（单 MAC 串行基线）
T,Vth,Accuracy(%),Overall_Sparsity(%),Sparsity_L1(%),Sparsity_L2(%),Avg_Spikes_L1,Avg_Spikes_L2,Total_Spikes_L1,Total_Spikes_L2,P_if_single_uW,P_mac_single_uW,P_SNN_uW,P_ANN_uW,power_saving_percent
5,0.5,39.8,49.03,48.74,57.65,768.9,21.2,384465,10587,9.611,4.870,7593.267,1160075.209,99.35
10,0.5,42.6,49.68,49.4,57.96,1517.9,42.0,758932,21018,9.611,4.870,14991.440,1160075.209,98.71
20,0.5,46.0,50.04,49.76,58.14,3014.1,83.7,1507054,41856,9.611,4.870,29771.449,1160075.209,97.43
30,0.5,49.2,50.27,50.0,58.34,4499.7,125.0,2249836,62494,9.611,4.870,44445.743,1160075.209,96.17
50,0.5,51.6,50.42,50.15,58.56,7477.6,207.2,3738780,103592,9.611,4.870,73854.876,1160075.209,93.63
80,0.5,52.4,50.53,50.26,58.56,11936.8,331.5,5968393,165765,9.611,4.870,117904.666,1160075.209,89.84
100,0.5,52.2,50.57,50.31,58.57,14908.1,414.3,7454062,207157,9.611,4.870,147256.136,1160075.209,87.31
5,0.75,42.2,51.35,51.06,59.86,734.1,20.1,367041,10035,9.611,4.870,7248.249,1160075.209,99.38
10,0.75,46.4,51.75,51.48,60.03,1455.6,40.0,727818,19983,9.611,4.870,14373.484,1160075.209,98.76
20,0.75,51.2,51.97,51.69,60.17,2898.3,79.7,1449172,39826,9.611,4.870,28620.110,1160075.209,97.53
30,0.75,54.0,52.14,51.86,60.36,4332.3,118.9,2166144,59455,9.611,4.870,42778.319,1160075.209,96.31
50,0.75,56.4,52.24,51.97,60.43,7204.2,197.9,3602122,98936,9.611,4.870,71137.984,1160075.209,93.87
80,0.75,58.0,52.31,52.04,60.49,11510.0,316.1,5755003,158047,9.611,4.870,113654.896,1160075.209,90.20
100,0.75,57.2,52.35,52.08,60.46,14376.0,395.4,7188007,197682,9.611,4.870,141960.743,1160075.209,87.76
5,1.0,48.2,53.57,53.29,61.99,700.7,19.0,350338,9503,9.611,4.870,6916.687,1160075.209,99.40
10,1.0,52.0,53.79,53.52,62.16,1394.5,37.8,697264,18920,9.611,4.870,13765.139,1160075.209,98.81
20,1.0,54.8,53.89,53.61,62.19,2783.1,75.6,1391561,37814,9.611,4.870,27473.576,1160075.209,97.63
30,1.0,59.8,54.01,53.73,62.44,4164.3,112.7,2082140,56339,9.611,4.870,41104.167,1160075.209,96.46
50,1.0,63.4,54.08,53.8,62.42,6930.4,187.9,3465225,93960,9.611,4.870,68410.520,1160075.209,94.10
80,1.0,63.6,54.12,53.84,62.49,11077.5,300.1,5538744,150052,9.611,4.870,109344.581,1160075.209,90.57
100,1.0,64.2,54.15,53.87,62.5,13837.9,375.0,6918974,187510,9.611,4.870,136593.271,1160075.209,88.23
5,1.5,59.0,57.91,57.62,66.34,635.6,16.8,317814,8414,9.611,4.870,6269.899,1160075.209,99.46
10,1.5,61.8,57.77,57.48,66.29,1275.5,33.7,637774,16853,9.611,4.870,12582.085,1160075.209,98.92
20,1.5,65.4,57.67,57.39,66.21,2556.6,67.6,1278305,33790,9.611,4.870,25219.910,1160075.209,97.83
30,1.5,70.2,57.73,57.44,66.41,3830.8,100.8,1915379,50387,9.611,4.870,37784.696,1160075.209,96.74
50,1.5,72.6,57.72,57.43,66.36,6385.1,168.2,3192550,84103,9.611,4.870,62980.580,1160075.209,94.57
80,1.5,76.2,57.73,57.44,66.34,10213.4,269.3,5106717,134631,9.611,4.870,100744.132,1160075.209,91.32
100,1.5,76.6,57.74,57.45,66.34,12765.0,336.6,6382491,168322,9.611,4.870,125913.107,1160075.209,89.15
5,2.0,65.6,61.9,61.62,70.13,575.6,14.9,287815,7467,9.611,4.870,5675.008,1160075.209,99.51
10,2.0,74.8,61.5,61.22,69.87,1163.3,30.1,581634,15067,9.611,4.870,11469.187,1160075.209,99.01
20,2.0,77.0,61.3,61.01,69.76,2339.1,60.5,1169553,30237,9.611,4.870,23061.389,1160075.209,98.01
30,2.0,79.6,61.27,60.99,69.77,3510.9,90.7,1755452,45341,9.611,4.870,34613.226,1160075.209,97.02
50,2.0,83.2,61.22,60.93,69.75,5859.8,151.3,2929898,75634,9.611,4.870,57769.759,1160075.209,95.02
80,2.0,84.4,61.21,60.92,69.77,9378.3,241.8,4689136,120920,9.611,4.870,92454.103,1160075.209,92.03
100,2.0,86.2,61.21,60.92,69.77,11723.3,302.3,5861658,151145,9.611,4.870,115572.194,1160075.209,90.04
5,3.0,85.2,69.1,68.86,76.37,467.1,11.8,233568,5908,9.611,4.870,4602.475,1160075.209,99.60
10,3.0,89.8,68.19,67.94,75.76,961.9,24.2,480949,12121,9.611,4.870,9476.928,1160075.209,99.18
20,3.0,91.2,67.77,67.51,75.47,1949.2,49.1,974586,24526,9.611,4.870,19204.690,1160075.209,98.34
30,3.0,93.4,67.66,67.4,75.47,2933.9,73.6,1466928,36788,9.611,4.870,28903.620,1160075.209,97.51
50,3.0,95.0,67.54,67.28,75.38,4907.5,123.1,2453761,61559,9.611,4.870,48346.650,1160075.209,95.83
80,3.0,96.2,67.48,67.22,75.3,7866.5,197.6,3933249,98793,9.611,4.870,77500.144,1160075.209,93.32
100,3.0,95.2,67.47,67.2,75.3,9838.7,247.0,4919334,123492,9.611,4.870,96928.758,1160075.209,91.64
5,5.0,89.6,79.68,79.45,86.59,308.2,6.7,154108,3353,9.611,4.870,3026.351,1160075.209,99.74
10,5.0,95.6,77.92,77.68,85.0,669.5,15.0,334758,7498,9.611,4.870,6578.397,1160075.209,99.43
20,5.0,95.2,77.24,77.01,84.34,1379.5,31.3,689753,15658,9.611,4.870,13558.513,1160075.209,98.83
30,5.0,95.8,77.03,76.79,84.23,2088.5,47.3,1044272,23659,9.611,4.870,20526.135,1160075.209,98.23
50,5.0,96.8,76.83,76.59,83.95,3511.5,80.3,1755757,40129,9.611,4.870,34519.043,1160075.209,97.02
