method,T,Vth,Accuracy(%),Overall_Sparsity(%),P_SNN_uW,P_ANN_uW,power_saving_percent,SNN/ANN(%)
data_based,50,0.5,96.8,89.75,15268.223,1160075.209,98.68,1.316
data_based,50,0.75,96.6,89.84,15128.871,1160075.209,98.7,1.304
data_based,50,1.0,96.6,89.9,15041.415,1160075.209,98.7,1.297
data_based,50,1.5,96.4,89.97,14942.427,1160075.209,98.71,1.288
data_based,30,1.5,96.2,90.25,8713.853,1160075.209,99.25,0.751
data_based,20,0.75,96.0,90.52,5650.982,1160075.209,99.51,0.487
data_based,20,1.5,95.4,90.64,5576.02,1160075.209,99.52,0.481
data_based,10,0.5,94.6,91.43,2551.591,1160075.209,99.78,0.22
data_based,5,0.5,92.2,93.75,930.298,1160075.209,99.92,0.08
max_norm,100,5.0,97.0,76.7,69428.273,1160075.209,94.02,5.985
max_norm,50,5.0,96.8,76.83,34519.043,1160075.209,97.02,2.976
max_norm,30,5.0,95.8,77.03,20526.135,1160075.209,98.23,1.769
max_norm,10,5.0,95.6,77.92,6578.397,1160075.209,99.43,0.567
max_norm,5,5.0,89.6,79.68,3026.351,1160075.209,99.74,0.261
