method,T,Vth,Accuracy,节能百分比,准确率下降,节能_准确率损失比,SNN/ANN能耗比
data_based,50,0.5,96.8,98.68,0.20000000000000284,493.39999999999304,1.3161407882478076
data_based,50,0.75,96.6,98.7,0.4000000000000057,246.7499999999965,1.3041284636227406
data_based,50,1.0,96.6,98.7,0.4000000000000057,246.7499999999965,1.296589642060009
data_based,50,1.5,96.4,98.71,0.5999999999999943,164.51666666666821,1.2880567470173392
data_based,30,1.5,96.2,99.25,0.7999999999999972,124.06250000000044,0.7511455233589083
data_based,20,0.75,96.0,99.51,1.0,99.51,0.4871220379643506
data_based,20,1.5,95.4,99.52,1.5999999999999943,62.200000000000216,0.4806602155395254
data_based,10,0.5,94.6,99.78,2.4000000000000057,41.5749999999999,0.21995048081404175
data_based,5,0.5,92.2,99.92,4.799999999999997,20.81666666666668,0.08019290411368493
max_norm,100,5.0,97.0,94.02,0.0,inf,5.984807921190565
max_norm,50,5.0,96.8,97.02,0.20000000000000284,485.0999999999931,2.9755866457792735
max_norm,30,5.0,95.8,98.23,1.2000000000000028,81.85833333333315,1.7693796782101563
max_norm,10,5.0,95.6,99.43,1.4000000000000057,71.02142857142829,0.567066423708051
max_norm,5,5.0,89.6,99.74,7.400000000000006,13.478378378378368,0.2608754136388066
